epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4415.2,0.96794,0.88378,1.09736,1,0.61989,0.995,0.76255,0.86897,1.94065,0.9692,0.0007327,0.0007327,0.0007327
56,4449.48,0.94418,0.85239,1.10689,1,0.62286,0.98167,0.79681,0.77654,1.89837,0.94041,0.00072775,0.00072775,0.00072775
57,4483.4,0.97915,0.8621,1.11238,0.86004,0.77026,0.95389,0.82123,0.63637,1.4386,0.89078,0.0007228,0.0007228,0.0007228
58,4517.52,0.97178,0.85266,1.0981,0.93874,0.75,0.96722,0.73061,1.04981,1.7086,1.06896,0.00071785,0.00071785,0.00071785
59,4551.34,0.95159,0.82988,1.10762,1,0.62287,0.95389,0.67237,1.00229,1.72174,1.02775,0.0007129,0.0007129,0.0007129
60,4585.39,0.97471,0.83605,1.13078,1,0.71865,0.995,0.73819,0.94378,1.62582,1.01759,0.00070795,0.00070795,0.00070795
61,4619.62,0.92484,0.8357,1.09446,1,0.91247,0.995,0.7416,0.86272,1.1891,0.98434,0.000703,0.000703,0.000703
62,4653.79,0.97933,0.86047,1.12283,0.9412,0.75,0.95475,0.79212,0.56059,1.55741,0.85213,0.00069805,0.00069805,0.00069805
63,4687.57,0.90266,0.79239,1.07992,1,0.6213,0.995,0.8271,0.66839,1.81067,0.88141,0.0006931,0.0006931,0.0006931
64,4721.86,0.93188,0.82172,1.09717,1,0.77282,0.995,0.79815,0.7855,1.79658,0.93212,0.00068815,0.00068815,0.00068815
65,4755.86,0.96148,0.83795,1.11375,1,0.62487,0.95389,0.75349,0.84452,1.92823,0.97498,0.0006832,0.0006832,0.0006832
66,4789.87,0.93552,0.80832,1.09838,0.89868,0.75,0.96722,0.76048,0.74934,1.51685,0.93784,0.00067825,0.00067825,0.00067825
67,4823.8,0.91785,0.77765,1.07422,1,0.61861,0.995,0.81264,0.77227,1.96027,0.93421,0.0006733,0.0006733,0.0006733
68,4857.98,0.95199,0.83152,1.09539,1,0.87027,0.995,0.82813,0.53051,1.17507,0.8633,0.00066835,0.00066835,0.00066835
69,4892.01,0.92158,0.81874,1.08536,1,0.83623,0.995,0.78951,0.82073,1.50661,0.97805,0.0006634,0.0006634,0.0006634
70,4925.7,0.89579,0.77603,1.08285,1,0.71366,0.995,0.79132,0.76878,1.59942,0.94317,0.00065845,0.00065845,0.00065845
71,4959.76,0.90945,0.78709,1.08657,1,0.6189,0.995,0.71666,0.96653,2.18554,1.04451,0.0006535,0.0006535,0.0006535
72,4994.08,0.90879,0.78276,1.07955,1,0.62244,0.995,0.72574,0.87483,1.85881,1.02273,0.00064855,0.00064855,0.00064855
73,5028.09,0.91479,0.77973,1.10154,1,0.61802,0.995,0.64219,1.08634,2.21294,1.09396,0.0006436,0.0006436,0.0006436
