epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,2400.39,0.9631,0.61923,1.23004,0.9496,0.93419,0.964,0.66633,1.11485,0.57264,1.32522,0.00114715,0.00114715,0.00114715
65,2436.67,0.93718,0.59307,1.20969,0.95723,0.92487,0.96572,0.66362,1.15077,0.53051,1.35243,0.00113889,0.00113889,0.00113889
66,2477.93,0.91675,0.59079,1.19684,0.98914,0.91736,0.9759,0.68432,1.12779,0.52634,1.3191,0.00113064,0.00113064,0.00113064
67,2516.38,0.92331,0.57926,1.19992,0.97747,0.90909,0.96403,0.65613,1.17548,0.58151,1.34596,0.00112239,0.00112239,0.00112239
68,2557.33,0.94182,0.58447,1.20037,0.97833,0.92562,0.97129,0.68101,1.10607,0.52825,1.3056,0.00111414,0.00111414,0.00111414
69,2589.38,0.93464,0.59381,1.21043,0.98257,0.93153,0.98406,0.68604,1.09871,0.48566,1.30096,0.00110589,0.00110589,0.00110589
70,2628.36,0.86852,0.55867,1.16084,0.99113,0.92361,0.97078,0.68669,1.11388,0.58166,1.29513,0.00109764,0.00109764,0.00109764
71,2661.1,0.90722,0.57976,1.18515,0.97429,0.93954,0.96995,0.67264,1.13797,0.5612,1.32822,0.00108938,0.00108938,0.00108938
72,2703.75,0.91997,0.58748,1.19007,1,0.89999,0.97009,0.6816,1.10957,0.52814,1.29284,0.00108113,0.00108113,0.00108113
73,2736.22,0.88924,0.57333,1.17237,1,0.89203,0.9743,0.67257,1.17396,0.53739,1.34191,0.00107288,0.00107288,0.00107288
74,2781.52,0.88678,0.55377,1.16685,0.99096,0.90584,0.96172,0.67038,1.12472,0.57821,1.35293,0.00106463,0.00106463,0.00106463
75,2814.86,0.92509,0.58017,1.19466,0.98258,0.93211,0.96836,0.6572,1.19809,0.54877,1.38885,0.00105638,0.00105638,0.00105638
76,2856.48,0.91304,0.57163,1.1737,0.98241,0.92332,0.97046,0.67697,1.10589,0.54685,1.30664,0.00104813,0.00104813,0.00104813
77,2892.99,0.91487,0.57371,1.18172,0.94491,0.89256,0.94673,0.64031,1.25221,0.64177,1.44628,0.00103987,0.00103987,0.00103987
78,2928.42,0.88868,0.55417,1.17577,0.98899,0.89256,0.96364,0.6922,1.11158,0.55767,1.29877,0.00103162,0.00103162,0.00103162
79,2963.84,0.87024,0.53719,1.15704,0.97704,0.95041,0.97671,0.68814,1.13291,0.54632,1.32385,0.00102337,0.00102337,0.00102337
80,3004.51,0.85133,0.52686,1.14496,0.99725,0.89256,0.97047,0.69479,1.10375,0.51448,1.31872,0.00101512,0.00101512,0.00101512
81,3041.27,0.87489,0.55579,1.15671,0.97978,0.93388,0.96358,0.69365,1.12324,0.52346,1.34746,0.00100687,0.00100687,0.00100687
82,3085.13,0.86355,0.54763,1.15899,0.99671,0.93388,0.97452,0.6629,1.15368,0.52758,1.35754,0.000998616,0.000998616,0.000998616
83,3123.14,0.88894,0.55926,1.17213,0.98403,0.89256,0.95267,0.59642,1.33542,0.60285,1.54256,0.000990365,0.000990365,0.000990365
84,3162.32,0.84147,0.53855,1.13651,0.97978,0.93388,0.9837,0.67999,1.13542,0.48664,1.3546,0.000982113,0.000982113,0.000982113
85,3201.23,0.85696,0.53865,1.14525,0.97033,0.94215,0.97378,0.67778,1.15821,0.49096,1.39491,0.000973861,0.000973861,0.000973861
86,3240.56,0.84611,0.52871,1.13204,0.98258,0.93248,0.96969,0.6986,1.11157,0.54255,1.30745,0.00096561,0.00096561,0.00096561
87,3276.99,0.80495,0.49304,1.11378,0.9647,0.94215,0.98263,0.69147,1.12292,0.51274,1.31587,0.000957358,0.000957358,0.000957358
88,3320.53,0.81246,0.49693,1.11648,0.97308,0.93388,0.97593,0.69256,1.09673,0.46501,1.31948,0.000949106,0.000949106,0.000949106
89,3357.59,0.82297,0.5044,1.11424,0.96939,0.95041,0.98881,0.69357,1.09472,0.47271,1.3208,0.000940855,0.000940855,0.000940855
90,3398.67,0.80585,0.50584,1.11064,0.98949,0.95868,0.98996,0.70526,1.09284,0.44732,1.31615,0.000932603,0.000932603,0.000932603
91,3441,0.7915,0.48409,1.09738,0.98273,0.94049,0.96622,0.67711,1.17182,0.497,1.38181,0.000924352,0.000924352,0.000924352
92,3483.38,0.80694,0.51473,1.12003,0.9913,0.95041,0.98005,0.70395,1.11173,0.46253,1.33162,0.0009161,0.0009161,0.0009161
93,3524.21,0.83358,0.52345,1.12665,0.9827,0.93906,0.97631,0.6737,1.14891,0.52242,1.35246,0.000907848,0.000907848,0.000907848
94,3567.37,0.80517,0.49675,1.11366,0.99571,0.91736,0.97608,0.69565,1.10243,0.51399,1.33953,0.000899597,0.000899597,0.000899597
95,3611.58,0.8355,0.5148,1.12324,0.9829,0.94987,0.97115,0.66687,1.15314,0.53333,1.40683,0.000891345,0.000891345,0.000891345
96,3955.01,0.82368,0.51116,1.12639,0.99126,0.93689,0.96672,0.67689,1.12607,0.51382,1.34931,0.000883093,0.000883093,0.000883093
97,3992.76,0.81339,0.5072,1.12638,0.98922,0.92562,0.97594,0.6694,1.17027,0.52187,1.41579,0.000874842,0.000874842,0.000874842
98,4023.76,0.8213,0.51104,1.12073,0.98989,0.90083,0.96632,0.62996,1.22884,0.61193,1.44615,0.00086659,0.00086659,0.00086659
99,4055.51,0.77337,0.48665,1.09622,0.98234,0.9194,0.96847,0.6824,1.15417,0.54129,1.33744,0.000858338,0.000858338,0.000858338
100,4081.98,0.78072,0.4916,1.10033,1,0.94045,0.98887,0.6975,1.11839,0.44131,1.34975,0.000850087,0.000850087,0.000850087
101,4107.13,0.78853,0.4939,1.09662,0.97387,0.92418,0.97599,0.68025,1.17789,0.50649,1.36487,0.000841835,0.000841835,0.000841835
102,4138.98,0.74891,0.47324,1.08767,0.98287,0.94857,0.97835,0.70655,1.10137,0.49055,1.33223,0.000833583,0.000833583,0.000833583
103,4167.11,0.75898,0.47553,1.07369,0.99789,0.94215,0.9737,0.70494,1.11046,0.50826,1.37754,0.000825332,0.000825332,0.000825332
104,4197.6,0.77091,0.48336,1.10181,0.98121,0.92562,0.98763,0.69554,1.12603,0.45018,1.35499,0.00081708,0.00081708,0.00081708
105,4228.69,0.75659,0.45954,1.08499,0.95737,0.91736,0.96954,0.68901,1.13532,0.53069,1.35632,0.000808828,0.000808828,0.000808828
106,4251.43,0.76954,0.46933,1.09215,0.94073,0.93388,0.97253,0.67762,1.17089,0.50461,1.38196,0.000800577,0.000800577,0.000800577
107,4282.92,0.79214,0.49763,1.10129,0.98144,0.93388,0.97656,0.68201,1.14628,0.47949,1.38756,0.000792325,0.000792325,0.000792325
108,4319.56,0.76552,0.48656,1.09238,0.95824,0.94813,0.97889,0.67471,1.18166,0.50243,1.37436,0.000784073,0.000784073,0.000784073
109,4347.32,0.75334,0.47385,1.095,0.97952,0.95868,0.9831,0.70557,1.09468,0.49469,1.31697,0.000775822,0.000775822,0.000775822
110,4390.7,0.74875,0.4679,1.08948,0.95781,0.93805,0.97442,0.68131,1.14435,0.52523,1.39857,0.00076757,0.00076757,0.00076757
111,4414.99,0.74029,0.47033,1.08751,0.97446,0.94594,0.97868,0.69317,1.11787,0.51949,1.37636,0.000759318,0.000759318,0.000759318
112,4448.72,0.73771,0.46859,1.07482,0.98302,0.95717,0.97536,0.68117,1.1577,0.4766,1.38002,0.000751067,0.000751067,0.000751067
113,4485.02,0.74604,0.46166,1.07819,1,0.92373,0.9775,0.67299,1.19394,0.49585,1.4206,0.000742815,0.000742815,0.000742815
114,4512.71,0.74798,0.46643,1.08717,1,0.95454,0.98062,0.70224,1.12127,0.45498,1.3738,0.000734564,0.000734564,0.000734564
115,4548.19,0.70411,0.45013,1.05684,0.97003,0.93388,0.98234,0.70023,1.09818,0.45726,1.3555,0.000726312,0.000726312,0.000726312
116,4584.42,0.72227,0.45001,1.06767,0.96546,0.92414,0.96454,0.67273,1.16666,0.47419,1.4304,0.00071806,0.00071806,0.00071806
117,4612.1,0.72764,0.44788,1.06047,0.97451,0.94788,0.98454,0.70642,1.08544,0.45516,1.34733,0.000709809,0.000709809,0.000709809
118,4652.19,0.71224,0.44814,1.05502,0.96,0.95868,0.97813,0.69992,1.11561,0.4696,1.39022,0.000701557,0.000701557,0.000701557
119,4689.26,0.70623,0.44442,1.05336,0.98241,0.92334,0.98394,0.68503,1.14047,0.49074,1.41094,0.000693305,0.000693305,0.000693305
120,4729.56,0.69102,0.42817,1.04758,0.98303,0.95729,0.97453,0.67996,1.16103,0.52743,1.42673,0.000685054,0.000685054,0.000685054
121,4755.64,0.74051,0.46075,1.07155,0.98301,0.95613,0.97693,0.68367,1.14988,0.49451,1.38108,0.000676802,0.000676802,0.000676802
122,4785.09,0.70858,0.43821,1.05916,0.98055,0.95868,0.97966,0.70086,1.10986,0.48665,1.32313,0.00066855,0.00066855,0.00066855
123,4825.97,0.70021,0.44378,1.06053,0.98254,0.93023,0.97887,0.71153,1.09621,0.4795,1.32347,0.000660299,0.000660299,0.000660299
124,4860.05,0.69131,0.43949,1.04942,0.98258,0.93242,0.98099,0.70933,1.11701,0.49496,1.35892,0.000652047,0.000652047,0.000652047
125,4896.87,0.69128,0.43163,1.06053,0.97236,0.94215,0.97865,0.69823,1.12568,0.51202,1.34463,0.000643795,0.000643795,0.000643795
126,4927.46,0.67434,0.41999,1.034,0.96718,0.97434,0.99012,0.70039,1.10634,0.43569,1.38812,0.000635544,0.000635544,0.000635544
127,4959.25,0.68064,0.43861,1.04101,0.9781,0.92562,0.97989,0.70345,1.10467,0.51313,1.35124,0.000627292,0.000627292,0.000627292
